image_filename,response_content,색감,분위기,고유한 특징,촬영 구도,동작,인물 수,의상
camengzzi_01.jpg,"


- 색감: 따뜻한, 부드러운
- 분위기: 행복한, 로맨틱한
- 고유한 특징: 자연광 활용, 화사함
- 촬영 구도: 자연스럽고 친근한
- 동작: 웃음, 키스
- 인물 수: 여러 명 (가족 및 친구들)
- 의상: 캐주얼 의상, 웨딩 드레스, 턱시도","따뜻함, 부드러움","경쾌함, 로맨틱",자연 배경,정면,"미소/웃음, 포옹/키스",3명 이상,"캐주얼 의상, 웨딩 드레스, 턱시도"
youngho_gogo_02.png,"

1. **색감**: 화사함, 따스함
2. **분위기**: 로맨틱, 감성적
3. **고유한 특징**: 자연스러움, 친밀함
4. **촬영 구도**: 중심적, 대칭적
5. **동작**: 키스, 포옹, 업기
6. **인물 수**: 두 명 (각 사진마다 커플)
7. **의상**: 캐주얼, 웨딩 드레스 아님
 ","따뜻함, 화사함","감성적, 로맨틱","일상적 연출, 인물 중심, 부드러운 분위기",정면,포옹/키스,2명,캐주얼
ourownfilm_01.jpg,"- **색감**: 부드러운, 따뜻한
- **분위기**: 로맨틱한, 감성적인
- **고유한 특징**: 인물 중심, 명료한 구성, 차분한
- **촬영 구도**: 정면 및 측면, 클로즈업
- **동작**: 정적인 포즈, 상호작용
- **인물 수**: 1명 또는 2명
- **의상**: 드레스, 턱시도, 베일","따뜻함, 부드러움","감성적, 로맨틱",인물 중심,"정면, 측면, 근접",정적인 포즈,"1명, 2명","웨딩 드레스, 턱시도, 베일"
w.yeowoon_02.png,"1. 색감: 빈티지
2. 분위기: 자연스러움
3. 고유한 특징: 일상적, 친근함
4. 촬영 구도: 다양한 각도, 자연광
5. 동작: 수박 먹기, 엎드려 누움, 함께 걷기
6. 인물 수: 2명
7. 의상: 캐주얼, 드레스 (웨딩 드레스 아님), 부츠, 캐주얼 의상 (턱시도 아님)",빈티지,자연스러움,일상적 연출,다각도,"정적 포즈, 걷기/움직임",2명,캐주얼
anonnuit_01.png,"- 색감: 부드러운, 자연스러운
- 분위기: 로맨틱한, 따뜻한
- 고유한 특징: 일상적 친밀감, 자연 속 배경
- 촬영 구도: 중앙 배치, 심플함
- 동작: 손잡기, 우산 공유, 뺨 키스
- 인물 수: 2명
- 의상: 캐주얼 복장, 간단한 드레스, 군복, 웨딩 드레스 아님, 턱시도 아님","부드러움, 자연","따뜻함, 로맨틱","일상적 연출, 자연 배경",정면,"손잡기/애정 표현, 소품 활용",2명,"캐주얼, 군복"
anonnuit_02.png,"- **색감**: 따뜻한, 소프트한, 자연스러운
- **분위기**: 로맨틱한, 친밀한, 행복한
- **고유한 특징**: 자연스러운 연출, 편안함
- **촬영 구도**: 클로즈업, 중심 인물 강조
- **동작**: 첫 번째 - 포옹, 두 번째 - 포옹 및 웃음, 세 번째 - 포옹
- **인물 수**: 두 명씩
- **의상**: 캐주얼, 웨딩 드레스 및 턱시도 없음","따뜻함, 부드러움, 자연","감성적, 경쾌함, 로맨틱","일상적 연출, 캐주얼 연출","근접, 정면, 측면",포옹/키스,2명,캐주얼
cherrybuttercake.snap_01.png,"
- **색감**: 부드러운, 따뜻한 톤
- **분위기**: 감성적, 로맨틱
- **고유한 특징**: 자연스러움, 감정 표현 강조
- **촬영 구도**: 가까운 촬영, 자연 배경
- **동작**: 포옹
- **인물 수**: 두 명
- **의상**: 웨딩 드레스, 수트

","따뜻함, 부드러움","감성적, 로맨틱","일상적 연출, 인물 중심",정면,포옹/키스,2명,"웨딩 드레스, 턱시도"
oev.official_01.png,"1. 색감: 따뜻함, 자연스러움
2. 분위기: 로맨틱, 감성적
3. 고유한 특징: 자연광 활용, 친밀함 강조
4. 촬영 구도: 가까운 거리, 위에서 아래로, 정면
5. 동작: 포옹, 키스
6. 인물 수: 두 명
7. 의상: 웨딩 드레스, 정장(턱시도 또는 수트)","따뜻함, 자연","감성적, 로맨틱","자연 배경, 일상적 연출, 인물 중심","정면, 근접, 탑뷰",포옹/키스,2명,웨딩 드레스
oev.official_02.png,"1. 색감: 따뜻함, 어두움, 대비감
2. 분위기: 로맨틱, 친밀, 감성적
3. 고유한 특징: 조명 활용, 그림자, 감정 표현
4. 촬영 구도: 클로즈업, 탑뷰, 대칭
5. 동작: 바라봄, 손 잡기
6. 인물 수: 두 사람
7. 의상: 웨딩 드레스, 캐주얼, 이브닝 드레스, 셔츠 및 바지","대비, 따뜻함, 어두움","감성적, 로맨틱","감성적 연출, 유니크한 연출, 인물 중심 ","탑뷰, 근접","정적 포즈, 손잡기/애정 표현",2명,"웨딩 드레스, 캐주얼"
oev.official_03.png,"- **색감**: 따뜻한, 빈티지
- **분위기**: 로맨틱한, 감성적인
- **고유한 특징**: 자연스러움, 친밀함
- **촬영 구도**: 다양한 시점, 친근한
- **동작**: 웃음, 앉기, 걷기
- **인물 수**: 2명
- **의상**: 웨딩 드레스, 턱시도","따뜻함, 빈티지","감성적, 로맨틱","일상적 연출, 인물 중심, 캐주얼 연출",다각도,"미소/웃음, 걷기/움직임",2명,"웨딩 드레스, 턱시도"
